,Planet Name,Host Star of Planet,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period in Days,Orbit Semi-Major Axis,Mass,Eccentricity,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
3169,Kepler-39 b,Kepler-39,1,1,Transit,2011,Kepler,21.08721,0.164,6388.1,0.112,F7 V,6350.0,1.4,1.29,0.1,[Fe/H],4.4,1057.41,14.2622
3193,Kepler-40 b,Kepler-40,1,1,Transit,2010,Kepler,6.87349,0.08,699.2,0.0,F5 IV,6510.0,2.13,1.48,0.1,[Fe/H],3.94,2305.01,14.5591
3216,Kepler-41 b,Kepler-41,1,1,Transit,2011,Kepler,1.8555582,0.03101,177.98,0.0,G2 V,5750.0,1.29,1.15,0.38,[Fe/H],4.28,1093.08,14.413
3240,Kepler-423 b,Kepler-423,1,1,Transit,2014,Kepler,2.6843285,0.03585,189.101,0.019,G4 V,5560.0,0.95,0.85,-0.1,[M/H],4.41,758.753,14.28
3243,Kepler-425 b,Kepler-425,1,1,Transit,2014,Kepler,3.79701816,0.0464,79.45,0.33,K1 V,5170.0,0.86,0.93,0.24,[Fe/H],4.54,646.647,14.7301
3244,Kepler-426 b,Kepler-426,1,1,Transit,2014,Kepler,3.21751883,0.0414,108.06,0.18,G1 V,5725.0,0.92,0.91,-0.21,[Fe/H],4.47,843.695,14.8069
3245,Kepler-427 b,Kepler-427,1,1,Transit,2014,Kepler,10.290994,0.091,92.17,0.57,G2 V,5800.0,1.35,0.96,-0.19,[Fe/H],4.14,1017.8,14.1964
3246,Kepler-428 b,Kepler-428,1,1,Transit,2014,Kepler,3.52563254,0.0433,403.63,0.22,K1 V,5150.0,0.8,0.87,0.09,[Fe/H],4.57,686.284,15.2218
3263,Kepler-44 b,Kepler-44,1,1,Transit,2011,Kepler,3.2467293,0.0446,317.82,0.066,G2 IV,5800.0,1.35,1.12,0.15,[Fe/H],4.22,1188.0,14.6901
3279,Kepler-447 b,Kepler-447,1,1,Transit,2015,Kepler,7.79430132,0.0769,435.41,0.123,G8 V,5493.0,1.05,1.0,0.07,[Fe/H],4.4,268.041,12.3795
3283,Kepler-45 b,Kepler-45,1,1,Transit,2011,Kepler,2.455239,0.03,160.497,0.11,M,3820.0,0.55,0.59,0.28,[Fe/H],4.7,381.949,15.9804
3401,Kepler-539 b,Kepler-539,1,2,Transit,2016,Kepler,125.63243,0.4988,308.2951,0.39,G2 V,5820.0,0.95,1.05,-0.01,[Fe/H],4.5,307.318,12.379
3402,Kepler-539 c,Kepler-539,1,2,Transit Timing Variations,2016,Kepler,1000.0,2.42,762.792,0.5,G2 V,5820.0,0.95,1.05,-0.01,[Fe/H],4.5,307.318,12.379
3663,Kepler-74 b,Kepler-74,1,1,Transit,2013,Kepler,7.340711,0.0781,200.22,0.0,F8 V,6000.0,1.12,1.18,0.42,[Fe/H],4.44,1177.55,14.3652
3674,Kepler-75 b,Kepler-75,1,1,Transit,2013,Kepler,8.8849116,0.0818,3209.9,0.57,K0 V,5200.0,0.89,0.91,0.3,[Fe/H],4.5,835.356,15.1789
3703,Kepler-77 b,Kepler-77,1,1,Transit,2013,Kepler,3.57878087,0.04501,136.661,0.0,G5 V,5520.0,0.99,0.95,0.2,[M/H],4.42,639.411,13.9172
4001,L 168-9 b,L 168-9,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.4015,0.02091,4.6,0.21,M1 V,3800.0,0.6,0.62,0.04,[Fe/H],4.04,25.1496,10.2316
4002,L 98-59 b,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),2.2531136,0.02191,0.4,0.103,M3 V,3415.0,0.3,0.27,-0.46,[Fe/H],4.86,10.6194,10.5976
4003,L 98-59 c,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.6906777,0.0304,2.22,0.103,M3 V,3415.0,0.3,0.27,-0.46,[Fe/H],4.86,10.6194,10.5976
4004,L 98-59 d,L 98-59,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),7.4507245,0.0486,1.94,0.074,M3 V,3415.0,0.3,0.27,-0.46,[Fe/H],4.86,10.6194,10.5976
4005,L 98-59 e,L 98-59,1,4,Radial Velocity,2021,Multiple Observatories,12.796,0.0717,3.06,0.128,M3 V,3415.0,0.3,0.27,-0.46,[Fe/H],4.86,10.6194,10.5976
4011,LHS 1815 b,LHS 1815,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.81433,0.0404,8.7,0.0,M1,3643.0,0.5,0.5,-0.12,[Fe/H],4.77,29.8424,11.2362
4013,LP 714-47 b,LP 714-47,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),4.052037,0.0417,30.8,0.04,M0.0 V,3950.0,0.58,0.59,0.41,[Fe/H],4.64,52.616,11.7282
4016,LSPM J2116+0234 b,LSPM J2116+0234,1,1,Radial Velocity,2019,Calar Alto Observatory,14.4399,0.0876,13.3,0.183,M3.0 V,3475.0,0.43,0.43,-0.05,[Fe/H],4.95,17.6297,10.8595
4018,LTT 3780 b,LTT 3780,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.768448,0.01211,2.62,0.0,M4 V,3331.0,0.37,0.4,0.28,[Fe/H],4.9,21.9814,11.8465
4019,LTT 3780 c,LTT 3780,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),12.2519,0.07673,8.6,0.06,M4 V,3331.0,0.37,0.4,0.28,[Fe/H],4.9,21.9814,11.8465
4020,LTT 9779 b,LTT 9779,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.792052,0.01679,29.32,0.0,G7 V,5443.0,0.95,0.77,0.27,[Fe/H],4.35,80.4373,9.60006
4024,MASCARA-1 b,MASCARA-1,1,1,Transit,2017,Multiple Observatories,2.14878,0.043,1175.971,0.0,A8,7554.0,2.1,1.72,0.0,[Fe/H],4.0,182.273,8.24243
4025,MASCARA-4 b,MASCARA-4,2,1,Transit,2020,Multiple Observatories,2.82406,0.047,985.273,0.0,A7 V,7800.0,1.92,1.75,0.0,[Fe/H],4.1,170.696,8.17401
4058,NGTS-1 b,NGTS-1,1,1,Transit,2017,Paranal Observatory,2.647298,0.0326,258.07796,0.016,M0.5,3916.0,0.57,0.62,0.0,[M/H],4.71,218.121,14.8661
4060,NGTS-11 b,NGTS-11,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),35.45533,0.201,109.33352,0.13,K,5050.0,0.83,0.86,0.22,[Fe/H],4.5,190.422,12.1895
4061,NGTS-12 b,NGTS-12,1,1,Transit,2020,Paranal Observatory,7.532806,0.0757,66.10864,0.0,G,5690.0,1.59,1.02,-0.03,[Fe/H],4.04,446.442,12.1279
4063,NGTS-14 A b,NGTS-14 A,2,1,Transit,2021,Paranal Observatory,3.5357173,0.0403,29.24036,0.0,K1 V,5187.0,0.84,0.9,0.1,[Fe/H],4.2,322.148,13.0986
4064,NGTS-15 b,NGTS-15,1,1,Transit,2021,Paranal Observatory,3.27623,0.0441,238.68913,0.0,G6 V,5600.0,0.95,0.99,0.15,[Fe/H],4.4,786.485,14.4299
4065,NGTS-16 b,NGTS-16,1,1,Transit,2021,Paranal Observatory,4.84532,0.0523,211.99155,0.0,G7 V,5550.0,1.21,1.0,0.35,[Fe/H],4.35,898.168,14.2311
4066,NGTS-17 b,NGTS-17,1,1,Transit,2021,Paranal Observatory,3.24253,0.0391,242.8209,0.0,G4 V,5650.0,1.34,1.02,0.15,[Fe/H],4.0,1040.28,14.2136
4067,NGTS-18 b,NGTS-18,1,1,Transit,2021,Paranal Observatory,3.05125,0.0448,129.99182,0.0,G5 V,5610.0,1.39,1.0,0.15,[Fe/H],4.16,1096.19,14.3896
4068,NGTS-2 b,NGTS-2,1,1,Transit,2018,Paranal Observatory,4.511164,0.063,235.1942,0.0,F5 V,6478.0,1.7,1.64,-0.06,[Fe/H],4.2,356.391,10.8605
4071,NGTS-5 b,NGTS-5,1,1,Transit,2019,Paranal Observatory,3.3569866,0.0382,72.78307,0.0,K2 V,4987.0,0.74,0.66,0.12,[Fe/H],4.52,306.779,13.526
4073,NGTS-8 b,NGTS-8,1,1,Transit,2019,Paranal Observatory,2.4997,0.035,295.5819,0.01,K0 V,5241.0,0.98,0.89,0.24,[Fe/H],4.41,428.976,13.4954
4074,NGTS-9 b,NGTS-9,1,1,Transit,2019,Paranal Observatory,4.43527,0.058,921.707,0.06,F8 V,6330.0,1.38,1.34,0.31,[Fe/H],4.37,609.128,12.6547
4158,PH1 b,PH1,4,1,Transit,2012,Kepler,138.317,0.652,169.0,0.0702,F,6407.0,1.73,1.53,0.21,[Fe/H],4.14,1033.16,13.6988
4173,Qatar-10 b,Qatar-10,1,1,Transit,2019,Qatar,1.645321,0.0286,233.92288,0.0,F7 V,6124.0,1.25,1.16,0.016,[Fe/H],4.3,559.068,12.6978
4175,Qatar-3 b,Qatar-3,1,1,Transit,2017,Qatar,2.5079204,0.03783,1369.8473,0.0,G0 V,6007.0,1.27,1.15,-0.041,[Fe/H],4.29,735.601,12.8203
4176,Qatar-4 b,Qatar-4,1,1,Transit,2017,Qatar,1.8053564,0.02803,1938.763,0.0,K1 V,5215.0,0.85,0.9,0.103,[Fe/H],4.53,329.036,13.4114
4177,Qatar-5 b,Qatar-5,1,1,Transit,2017,Qatar,2.8792319,0.04127,1373.0256,0.0,G2 V,5747.0,1.08,1.13,0.377,[Fe/H],4.43,367.658,12.5241
4178,Qatar-6 b,Qatar-6,2,1,Transit,2017,Qatar,3.506195,0.0423,212.31044,0.0,K2 V,5052.0,0.72,0.82,-0.025,[Fe/H],4.64,100.848,11.1249
4179,Qatar-7 b,Qatar-7,1,1,Transit,2019,Qatar,2.032046,0.0352,597.5204,0.0,F4 V,6387.0,1.56,1.41,0.276,[Fe/H],4.2,705.981,12.9275
4180,Qatar-8 b,Qatar-8,1,1,Transit,2019,Qatar,3.71495,0.0474,117.91493,0.0,G0 V,5738.0,1.31,1.03,0.025,[Fe/H],4.21,281.498,11.3494
4181,Qatar-9 b,Qatar-9,1,1,Transit,2019,Qatar,1.540731,0.0234,378.2177,0.0,K5 V,4309.0,0.7,0.72,0.252,[Fe/H],4.61,213.771,13.6871
4192,TIC 172900988 b,TIC 172900988 Aa,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),200.452,0.90281,942.0,0.0271,F9,6050.0,1.38,1.24,0.34,[Fe/H],4.25,250.956,10.0477
4193,TIC 237913194 b,TIC 237913194,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),15.168865,0.1207,617.22586,0.575,G3,5788.0,1.09,1.03,0.14,[Fe/H],4.38,306.063,11.9371
4195,TOI-1062 b,TOI-1062,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),4.11296,0.052,10.15,0.177,G9 V,5328.0,0.84,0.94,0.14,[Fe/H],4.55,82.1733,10.0008
4196,TOI-1062 c,TOI-1062,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),7.972,0.08,9.78,0.14,G9 V,5328.0,0.84,0.94,0.14,[Fe/H],4.55,82.1733,10.0008
4198,TOI-1130 c,TOI-1130,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.350381,0.07098,309.56642,0.047,K7,4250.0,0.69,0.68,0.2,[Fe/H],4.6,58.2609,10.9028
4199,TOI-1201 b,TOI-1201,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.4919863,0.0287,6.28,0.0,M2.0 V,3476.0,0.51,0.51,0.05,[Fe/H],4.8,37.8871,12.0966
4201,TOI-1231 b,TOI-1231,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),24.245586,0.1288,15.4,0.087,M3 V,3553.0,0.48,0.48,0.041,[Fe/H],4.77,27.6227,11.36
4203,TOI-125 b,TOI-125,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.65382,0.05186,9.5,0.194,K0 V,5320.0,0.85,0.86,-0.02,[Fe/H],4.52,111.059,10.718
4204,TOI-125 c,TOI-125,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),9.15059,0.0814,6.63,0.066,K0 V,5320.0,0.85,0.86,-0.02,[Fe/H],4.52,111.059,10.718
4205,TOI-125 d,TOI-125,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),19.98,0.137,13.6,0.168,K0 V,5320.0,0.85,0.86,-0.02,[Fe/H],4.52,111.059,10.718
4207,TOI-1260 b,TOI-1260,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),3.12748,0.0366,8.6,0.0,K6 V,4227.0,0.65,0.66,-0.1,[Fe/H],4.57,73.5977,11.5743
4208,TOI-1260 c,TOI-1260,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),7.49325,0.0656,11.8,0.0,K6 V,4227.0,0.65,0.66,-0.1,[Fe/H],4.57,73.5977,11.5743
4209,TOI-1266 b,TOI-1266,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.894843,0.0736,13.5,0.09,M3,3600.0,0.42,0.45,-0.5,[Fe/H],4.85,36.0118,12.1222
4210,TOI-1266 c,TOI-1266,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),18.80151,0.1058,2.2,0.04,M3,3600.0,0.42,0.45,-0.5,[Fe/H],4.85,36.0118,12.1222
4211,TOI-1278 b,TOI-1278,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.47567,0.095,5879.82553,0.013,M0 V,3799.0,0.57,0.54,-0.01,[Fe/H],4.68,75.5759,12.7543
4214,TOI-132 b,TOI-132,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),2.1097019,0.026,22.4,0.059,G8 V,5397.0,0.9,0.97,0.16,[Fe/H],4.48,163.678,11.3208
4217,TOI-1431 b,TOI-1431,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.650237,0.046,991.62463,0.0022,Am C,7690.0,1.92,1.9,0.09,[Fe/H],4.15,148.925,7.97561
4221,TOI-150.01,TOI-150,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),5.857487,0.07037,797.7533,0.262,F,6255.0,1.53,1.35,0.28,[Fe/H],4.13,336.267,11.3408
4222,TOI-1518 b,TOI-1518,1,1,Transit,2021,Multiple Observatories,1.902603,0.0389,731.00534,0.01,F0,7300.0,1.95,1.79,-0.1,[Fe/H],4.1,225.888,8.89529
4223,TOI-157 b,TOI-157,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),2.0845435,0.03138,375.0394,0.0,G9 IV,5404.0,1.17,0.95,0.24,[Fe/H],4.28,355.683,12.5143
4225,TOI-163 b,TOI-163,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.231306,0.058,387.7526,0.0,F,6495.0,1.65,1.44,0.22,[Fe/H],4.19,411.719,11.2193
4226,TOI-1634 b,TOI-1634,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.989343,0.01545,4.91,0.16,M2,3550.0,0.45,0.5,0.23,[Fe/H],4.83,35.2736,12.1965
4228,TOI-169 b,TOI-169,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),2.2554477,0.03524,251.40353,0.0,G1 V,5880.0,1.29,1.15,0.24,[Fe/H],4.28,407.84,12.2379
4230,TOI-1728 b,TOI-1728,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.49151,0.0391,26.78,0.057,M0,3980.0,0.62,0.65,0.25,[Fe/H],4.66,60.798,11.7294
4231,TOI-1749 b,TOI-1749,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.38839,0.0291,57.0,0.14,M0 V,3985.0,0.55,0.58,-0.26,[Fe/H],4.7,99.5561,13.1798
4232,TOI-1749 c,TOI-1749,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),4.4929,0.0443,14.0,0.019,M0 V,3985.0,0.55,0.58,-0.26,[Fe/H],4.7,99.5561,13.1798
4233,TOI-1749 d,TOI-1749,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),9.0497,0.0707,15.0,0.062,M0 V,3985.0,0.55,0.58,-0.26,[Fe/H],4.7,99.5561,13.1798
4242,TOI-1899 b,TOI-1899,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),29.02,0.1587,209.7678,0.118,M0,3841.0,0.61,0.63,0.31,[Fe/H],4.67,128.438,13.5553
4243,TOI-201 b,TOI-201,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),52.97818,0.3,133.4886,0.28,F6 V,6394.0,1.32,1.32,0.24,[Fe/H],4.32,113.825,8.94004
4249,TOI-220 b,TOI-220,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),10.695264,0.08911,13.8,0.032,K0 V,5298.0,0.86,0.82,-0.217,[Fe/H],4.37,90.7402,10.1897
4250,TOI-2202 b,TOI-2202,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),11.9101,0.09564,310.83618,0.042,K8 V,5144.0,0.79,0.82,0.04,[Fe/H],4.55,235.933,12.7606
4251,TOI-2202 c,TOI-2202,1,2,Transit Timing Variations,2021,Multiple Observatories,24.6744,0.15544,117.27868,0.0622,K8 V,5144.0,0.79,0.82,0.04,[Fe/H],4.55,235.933,12.7606
4258,TOI-269 b,TOI-269,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),3.6977104,0.0345,8.8,0.425,M2 V,3514.0,0.4,0.39,-0.29,[Fe/H],4.83,57.0225,13.4258
4259,TOI-270 b,TOI-270,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.3601538,0.03197,1.58,0.034,M,3506.0,0.38,0.39,-0.2,[Fe/H],4.87,22.4793,11.6306
4260,TOI-270 c,TOI-270,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),5.6605731,0.04526,6.15,0.027,M,3506.0,0.38,0.39,-0.2,[Fe/H],4.87,22.4793,11.6306
4261,TOI-270 d,TOI-270,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),11.379573,0.0721,4.78,0.032,M,3506.0,0.38,0.39,-0.2,[Fe/H],4.87,22.4793,11.6306
4263,TOI-421 b,TOI-421,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),5.19672,0.056,7.17,0.163,G9 V,5325.0,0.87,0.85,-0.02,[Fe/H],4.49,74.7969,9.77776
4264,TOI-421 c,TOI-421,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),16.06819,0.1189,16.42,0.152,G9 V,5325.0,0.87,0.85,-0.02,[Fe/H],4.49,74.7969,9.77776
4271,TOI-481 b,TOI-481,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.33111,0.097,486.2799,0.153,G,5735.0,1.66,1.14,0.26,[Fe/H],4.06,179.366,9.84659
4273,TOI-530 b,TOI-530,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.387597,0.052,127.13136,0.0,M0.5 V,3659.0,0.54,0.53,0.376,[Fe/H],4.7,148.762,14.6439
4276,TOI-558 b,TOI-558,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.574071,0.1291,1147.36055,0.298,F V,6466.0,1.5,1.35,-0.004,[Fe/H],4.22,402.63,11.3253
4277,TOI-559 b,TOI-559,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.9839095,0.0723,1910.14873,0.151,G V,5925.0,1.23,1.03,-0.069,[Fe/H],4.27,233.266,10.9777
4278,TOI-561 b,TOI-561,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.446578,0.01055,1.59,0.0,G9 V,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,85.799,10.0128
4279,TOI-561 c,TOI-561,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.779,0.08809,5.4,0.06,G9 V,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,85.799,10.0128
4280,TOI-561 d,TOI-561,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),25.62,0.1569,11.95,0.051,G9 V,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,85.799,10.0128
4281,TOI-561 e,TOI-561,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),77.23,0.3274,16.0,0.061,G9 V,5455.0,0.85,0.79,-0.33,[Fe/H],4.47,85.799,10.0128
4286,TOI-674 b,TOI-674,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1.977143,0.025,23.6,0.0,M2 V,3514.0,0.42,0.42,0.17,[Fe/H],4.81,46.0851,13.0914
4287,TOI-677 b,TOI-677,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),11.2366,0.1038,392.83788,0.435,F8,6295.0,1.28,1.18,0.0,[Fe/H],4.29,141.812,9.66082
4291,TOI-763 b,TOI-763,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),5.6057,0.06,9.79,0.04,G,5450.0,0.9,0.92,0.01,[Fe/H],4.45,95.1274,9.99915
4292,TOI-763 c,TOI-763,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),12.2737,0.1011,9.32,0.04,G,5450.0,0.9,0.92,0.01,[Fe/H],4.45,95.1274,9.99915
4293,TOI-776 b,TOI-776,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.24661,0.0652,4.0,0.06,M1 V,3709.0,0.54,0.54,-0.2,[Fe/H],4.73,27.1701,10.7409
4294,TOI-776 c,TOI-776,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),15.6653,0.1,5.3,0.04,M1 V,3709.0,0.54,0.54,-0.2,[Fe/H],4.73,27.1701,10.7409
4298,TOI-849 b,TOI-849,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.76552414,0.01598,39.09,0.0,G,5373.8,0.92,0.93,0.19,[Fe/H],4.48,225.734,12.0645
4299,TOI-892 b,TOI-892,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.62656,0.092,301.9385,0.125,F,6261.0,1.39,1.28,0.24,[Fe/H],4.26,340.543,11.3435
4344,WASP-104 b,WASP-104,2,1,Transit,2014,SuperWASP,1.7554137,0.02918,404.263,0.0,G8,5475.0,0.96,1.08,0.32,[Fe/H],4.5,185.932,11.5931
4345,WASP-105 b,WASP-105,1,1,Transit,2017,SuperWASP-South,7.87288,0.075,572.094,0.0,K2,5070.0,0.9,0.89,0.28,[Fe/H],4.2,169.272,11.8445
4351,WASP-113 b,WASP-113,1,1,Transit,2016,SuperWASP-North,4.54216875,0.05885,150.96925,0.0,G1,5890.0,1.61,1.32,0.1,[Fe/H],4.2,435.156,11.6041
4352,WASP-114 b,WASP-114,2,1,Transit,2016,SuperWASP-North,1.5487743,0.02851,562.24127,0.012,G0,5940.0,1.43,1.29,0.14,[Fe/H],4.3,523.337,12.5227
4354,WASP-118 b,WASP-118,1,1,Transit,2016,SuperWASP,4.0460435,0.05453,163.36462,0.0,F6,6410.0,1.7,1.32,0.16,[Fe/H],4.1,376.658,10.9196
4355,WASP-119 b,WASP-119,1,1,Transit,2016,SuperWASP-South,2.49979,0.0363,390.9309,0.058,G5,5650.0,1.2,1.02,0.14,[Fe/H],4.26,302.448,12.1014
4357,WASP-120 b,WASP-120,1,1,Transit,2016,SuperWASP,3.6112706,0.0514,1541.4755,0.057,F5,6450.0,1.87,1.39,-0.05,[Fe/H],4.04,381.174,10.8989
4358,WASP-121 b,WASP-121,1,1,Transit,2016,SuperWASP,1.2749255,0.02544,375.99289,0.0,F6 V,6459.0,1.46,1.35,0.13,[Fe/H],4.24,269.898,10.3746
4359,WASP-123 b,WASP-123,2,1,Transit,2016,SuperWASP,2.9776412,0.04263,285.72917,0.0,G5,5740.0,1.28,1.17,0.18,[Fe/H],4.29,197.996,10.8999
4360,WASP-124 b,WASP-124,1,1,Transit,2016,SuperWASP-South,3.37265,0.0449,190.698,0.017,F9,6050.0,1.02,1.07,-0.02,[Fe/H],4.44,448.637,12.5754
4364,WASP-129 b,WASP-129,2,1,Transit,2016,SuperWASP-South,5.748145,0.0628,317.83,0.096,G1,5900.0,0.9,1.0,0.15,[Fe/H],4.53,301.462,11.8127
4366,WASP-130 b,WASP-130,1,1,Transit,2016,SuperWASP-South,11.55098,0.1012,390.9309,0.0,G6,5625.0,0.96,1.04,0.26,[Fe/H],4.49,172.256,10.9717
4367,WASP-131 b,WASP-131,1,1,Transit,2016,SuperWASP-South,5.322023,0.0607,85.8141,0.0,G0,6030.0,1.53,1.06,-0.18,[Fe/H],4.09,200.075,9.86708
4368,WASP-132 b,WASP-132,1,1,Transit,2016,SuperWASP-South,7.133521,0.067,130.3103,0.0,K4,4775.0,0.74,0.8,0.22,[Fe/H],4.61,122.91,11.7538
4369,WASP-133 b,WASP-133,1,1,Transit,2016,SuperWASP-South,2.176423,0.0345,368.6828,0.17,G4,5700.0,1.44,1.16,0.29,[Fe/H],4.18,559.084,12.7146
4370,WASP-135 b,WASP-135,1,1,Transit,2015,SuperWASP,1.4013794,0.0243,603.877,0.0,G5 V,5675.0,0.96,0.98,0.02,[Fe/H],4.47,298.214,13.0045
4373,WASP-139 b,WASP-139,2,1,Transit,2016,SuperWASP-South,5.924262,0.062,37.18611,0.0,K0,5310.0,0.8,0.92,0.2,[Fe/H],4.59,212.472,12.2715
4375,WASP-140 b,WASP-140,2,1,Transit,2016,SuperWASP-South,2.2359835,0.0323,775.5052,0.047,K0,5260.0,0.87,0.9,0.12,[Fe/H],4.51,117.598,10.8202
4376,WASP-141 b,WASP-141,1,1,Transit,2016,SuperWASP-South,3.310651,0.0469,854.9627,0.0,F9,5900.0,1.37,1.25,0.29,[Fe/H],4.26,516.543,12.4822
4377,WASP-142 b,WASP-142,1,1,Transit,2016,SuperWASP-South,2.052868,0.0347,266.9772,0.0,F8,6010.0,1.64,1.33,0.26,[Fe/H],4.13,730.933,12.7568
4381,WASP-148 b,WASP-148,1,2,Transit,2020,SuperWASP-North,8.80381,0.0845,92.48853,0.22,G,5460.0,1.03,1.0,0.11,[Fe/H],4.4,246.353,12.0845
4382,WASP-148 c,WASP-148,1,2,Radial Velocity,2020,Haute-Provence Observatory,34.516,0.2101,127.132,0.359,G,5460.0,1.03,1.0,0.11,[Fe/H],4.4,246.353,12.0845
4384,WASP-150 b,WASP-150,1,1,Transit,2020,SuperWASP-North,5.644207,0.0694,2688.8418,0.3775,F8,6218.0,1.65,1.39,0.156,[Fe/H],4.15,527.995,11.9151
4385,WASP-151 b,WASP-151,1,1,Transit,2017,SuperWASP-South,4.533471,0.055,98.5273,0.003,G1,5871.0,1.14,1.08,0.1,[Fe/H],4.35,453.099,12.6278
4386,WASP-153 b,WASP-153,1,1,Transit,2017,SuperWASP,3.332609,0.048,123.9537,0.009,G0,5914.0,1.73,1.34,0.34,[Fe/H],4.1,610.176,12.4967
4387,WASP-156 b,WASP-156,1,1,Transit,2017,SuperWASP,3.836169,0.0453,40.68224,0.007,K3,4910.0,0.76,0.84,0.24,[Fe/H],4.6,122.066,11.3227
4398,WASP-166 b,WASP-166,1,1,Transit,2019,WASP-South,5.44354,0.0641,32.10083,0.0,F9 V,6050.0,1.22,1.19,0.19,[Fe/H],4.34,114.173,9.257
4401,WASP-169 b,WASP-169,1,1,Transit,2019,WASP-South,5.6114118,0.0681,178.30263,0.0,F8,6110.0,2.01,1.34,0.06,[Fe/H],3.96,627.066,11.7206
4404,WASP-171 b,WASP-171,1,1,Transit,2019,WASP-South,3.8186244,0.0504,344.52772,0.0,G0,5965.0,1.64,1.17,0.04,[Fe/H],4.08,757.84,12.4407
